05:10:39,H,1,A, 139.694, 35.490,  0,-180,   0,02/10/05,02/10/05,05:10:39,SHIRASE
0.00
2, 5.9372E-09, 42.74, 35.01,6.593,3.280,0.167,0.166,-0.64,-0.18
3, 1.5588E-08, 42.74, 35.01,6.552,3.260,0.167,0.167,-0.64,-0.25
4, 1.7992E-08, 42.74, 35.01,6.591,3.280,0.167,0.167,-0.66,-0.22
5, 1.0143E-08, 42.74, 35.01,6.591,3.280,0.167,0.167,-0.60,-0.21
6, 1.5431E-09, 42.74, 35.01,6.591,3.319,0.167,0.167,-0.87,-0.25
7, 4.7836E-09, 42.74, 35.01,6.552,3.242,0.167,0.167,-0.68,-0.25
25.00
1, 1.0681E-12, 36.58, 35.01,6.431,2.968,0.167,0.166,-0.61,-0.19
2, 5.0438E-09, 36.58, 35.01,6.407,2.968,0.167,0.167,-0.67,-0.21
3, 1.3195E-08, 36.58, 35.01,6.396,2.956,0.167,0.166,-0.63,-0.23
4, 1.5379E-08, 36.58, 35.01,6.396,2.968,0.167,0.167,-0.60,-0.21
5, 8.5686E-09, 36.58, 35.01,6.396,2.968,0.166,0.167,-0.61,-0.24
6, 1.2806E-09, 36.58, 35.01,6.475,2.987,0.167,0.167,-0.60,-0.25
7, 3.9536E-09, 36.58, 35.01,6.474,2.986,0.168,0.167,-0.65,-0.23
30.00
1, 9.9182E-13, 30.38, 35.01,6.279,2.543,0.167,0.167,-0.63,-0.22
2, 4.2831E-09, 30.38, 35.01,6.239,2.539,0.167,0.167,-0.65,-0.22
3, 1.1105E-08, 30.38, 35.01,6.202,2.578,0.167,0.167,-0.63,-0.22
4, 1.3174E-08, 30.38, 35.01,6.279,2.618,0.166,0.166,-0.62,-0.23
5, 7.3822E-09, 30.38, 35.01,6.239,2.539,0.167,0.167,-0.65,-0.24
6, 1.0884E-09, 30.38, 35.01,6.240,2.612,0.167,0.166,-0.79,-0.24
7, 3.3714E-09, 30.38, 35.01,6.239,2.543,0.167,0.167,-0.59,-0.21
40.00
1, 9.1553E-13, 17.86, 35.01,5.773,2.000,0.166,0.167,-0.61,-0.24
2, 3.2082E-09, 17.86, 35.01,5.773,1.965,0.167,0.166,-0.63,-0.22
3, 7.8201E-09, 17.86, 35.01,5.789,1.995,0.168,0.167,-0.62,-0.23
4, 9.2323E-09, 17.86, 35.01,5.812,1.962,0.168,0.167,-0.63,-0.27
5, 5.2460E-09, 17.86, 35.01,5.812,2.025,0.167,0.166,-0.66,-0.23
6, 7.6286E-10, 17.86, 35.01,5.772,1.954,0.167,0.166,-0.62,-0.20
7, 2.3812E-09, 17.86, 35.01,5.769,1.994,0.167,0.166,-0.62,-0.23
50.00
1, 8.3923E-13,  5.09, 35.01,5.227,1.512,0.166,0.167,-0.65,-0.22
2, 2.5398E-09,  5.09, 35.01,5.266,1.518,0.167,0.167,-0.60,-0.27
3, 5.7243E-09,  5.09, 35.01,5.227,1.487,0.167,0.167,-0.62,-0.25
4, 6.5239E-09,  5.09, 35.01,5.211,1.487,0.167,0.167,-0.64,-0.19
5, 3.7468E-09,  5.09, 35.01,5.227,1.487,0.167,0.167,-0.66,-0.24
6, 5.3802E-10,  5.09, 35.01,5.220,1.564,0.166,0.167,-0.63,-0.20
7, 1.7166E-09,  5.09, 35.01,5.227,1.526,0.168,0.167,-0.61,-0.22
60.00
1, 1.0681E-12, -8.03, 35.01,4.539,1.176,0.167,0.167,-0.61,-0.24
2, 2.1132E-09, -8.03, 35.01,4.565,1.176,0.167,0.167,-0.61,-0.25
3, 4.4388E-09, -8.03, 35.01,4.604,1.176,0.166,0.166,-0.65,-0.20
4, 4.8225E-09, -8.03, 35.01,4.525,1.211,0.167,0.167,-0.61,-0.18
5, 2.7855E-09, -8.03, 35.01,4.571,1.176,0.167,0.167,-0.67,-0.23
6, 3.9093E-10, -8.03, 35.01,4.531,1.175,0.166,0.167,-0.61,-0.23
7, 1.2840E-09, -8.03, 35.01,4.529,1.176,0.166,0.167,-0.63,-0.23
70.00
1, 9.9182E-13,-21.68, 35.01,3.824,1.097,0.167,0.167,-0.60,-0.25
2, 1.8291E-09,-21.68, 35.01,3.845,1.019,0.167,0.167,-0.61,-0.20
3, 3.6049E-09,-21.68, 35.01,3.812,1.019,0.166,0.166,-0.65,-0.22
4, 3.6987E-09,-21.68, 35.01,3.824,1.059,0.167,0.166,-0.67,-0.24
5, 2.1231E-09,-21.68, 35.01,3.858,1.019,0.167,0.167,-0.63,-0.24
6, 2.8992E-10,-21.68, 35.01,3.785,1.059,0.167,0.167,-0.63,-0.23
7, 9.8892E-10,-21.68, 35.01,3.792,1.059,0.166,0.166,-0.63,-0.24
80.00
1, 9.1553E-13,-36.19, 35.01,3.045,1.170,0.166,0.167,-0.63,-0.23
2, 1.6360E-09,-36.19, 35.01,3.085,1.176,0.167,0.167,-0.64,-0.19
3, 3.0098E-09,-36.19, 35.01,3.118,1.176,0.166,0.167,-0.63,-0.25
4, 2.8816E-09,-36.19, 35.01,3.045,1.137,0.167,0.167,-0.63,-0.21
5, 1.6083E-09,-36.19, 35.01,3.045,1.176,0.167,0.167,-0.64,-0.22
6, 2.1416E-10,-36.19, 35.01,3.085,1.165,0.167,0.167,-0.65,-0.23
7, 7.4188E-10,-36.19, 35.01,3.045,1.147,0.167,0.167,-0.63,-0.23
90.00
1, 6.8665E-13,-52.17, 35.01,2.265,1.527,0.167,0.166,-0.65,-0.22
2, 1.5094E-09,-52.17, 35.01,2.233,1.526,0.166,0.167,-0.61,-0.25
3, 2.6482E-09,-52.17, 35.01,2.238,1.564,0.167,0.166,-0.61,-0.23
4, 2.4086E-09,-52.17, 35.01,2.265,1.564,0.166,0.167,-0.62,-0.24
5, 1.3232E-09,-52.17, 35.01,2.265,1.565,0.167,0.167,-0.64,-0.21
6, 1.7143E-10,-52.17, 35.01,2.279,1.526,0.166,0.167,-0.67,-0.23
7, 6.1569E-10,-52.17, 35.01,2.265,1.565,0.167,0.167,-0.60,-0.21
100.00
1, 7.6294E-13,-71.34, 35.01,1.446,2.344,0.166,0.166,-0.64,-0.22
2, 1.4272E-09,-71.34, 35.01,1.525,2.345,0.167,0.167,-0.62,-0.22
3, 2.4705E-09,-71.34, 35.01,1.525,2.329,0.166,0.167,-0.63,-0.23
4, 2.1925E-09,-71.34, 35.01,1.472,2.307,0.167,0.166,-0.61,-0.19
5, 1.1905E-09,-71.34, 35.01,1.485,2.307,0.166,0.166,-0.71,-0.24
6, 1.4786E-10,-71.34, 35.01,1.450,2.344,0.166,0.167,-0.59,-0.22
7, 5.5237E-10,-71.34, 35.01,1.485,2.364,0.167,0.166,-0.63,-0.22

05:15:23,H,1,A, 139.694, 35.490,  0,-180,   0,02/10/05,02/10/05,05:15:23,SHIRASE
0.00
1, 1.2490E-09, 68.02, 34.39,6.864,4.807,4.333,5.034,-0.66,-0.22
2, 1.1244E-05, 68.02, 34.37,6.902,4.802,4.361,5.035,-0.65,-0.25
3, 5.0453E-05, 68.02, 34.35,6.864,4.835,4.369,5.035,-0.66,-0.25
4, 1.2717E-04, 68.02, 34.35,6.826,4.762,4.369,5.034,-0.65,-0.24
