POM-01,PS0000000,PS1202006, 139.323, 035.752,03/05/28,20:20:01,03/05/29,05:20:01
7,0315,0400,0500,0675,0870,0940,1020
03/05/28,20:20:02,03/05/29,05:20:02,H,Akiruno,TS_POM01.obs
20:41:04,05:41:04,-075.09,013.24,0.0000E+00,1.7181E-09,7.1121E-09,1.2067E-08,8.7441E-09,8.2054E-10,6.6010E-09
20:41:11,05:41:11,-064.78,013.24,0.0000E+00,1.3709E-09,5.0690E-09,8.1299E-09,5.8601E-09,5.4100E-10,4.4022E-09
20:41:18,05:41:18,-054.46,013.24,0.0000E+00,1.1398E-09,3.7880E-09,5.6793E-09,4.0337E-09,3.6377E-10,3.0067E-09
20:41:24,05:41:24,-044.11,013.24,0.0000E+00,9.8137E-10,2.9686E-09,4.1298E-09,2.8946E-09,2.5368E-10,2.1228E-09
20:41:31,05:41:31,-033.72,013.24,0.0000E+00,8.7051E-10,2.3903E-09,3.1158E-09,2.1500E-09,1.8356E-10,1.5638E-09
20:41:37,05:41:37,-023.27,013.24,0.0000E+00,7.9582E-10,2.0254E-09,2.4422E-09,1.6621E-09,1.3855E-10,1.2009E-09
20:41:43,05:41:43,-012.75,013.24,0.0000E+00,7.5111E-10,1.8037E-09,2.0285E-09,1.3718E-09,1.1078E-10,9.8557E-10
20:41:49,05:41:49,-002.12,013.24,0.0000E+00,7.3135E-10,1.6839E-09,1.7786E-09,1.2022E-09,9.4452E-11,8.5510E-10
20:41:55,05:41:55,008.68,013.24,0.0000E+00,7.2525E-10,1.6270E-09,1.6467E-09,1.1283E-09,8.6670E-11,8.0032E-10
20:42:01,05:42:01,019.74,013.24,0.0000E+00,7.4142E-10,1.6363E-09,1.5913E-09,1.0980E-09,8.2932E-11,7.7705E-10
20:42:07,05:42:07,031.28,013.24,0.0000E+00,7.6889E-10,1.6814E-09,1.6006E-09,1.1236E-09,9.2468E-11,7.9750E-10
20:42:13,05:42:13,043.82,013.24,0.0000E+00,7.9231E-10,1.7390E-09,1.6629E-09,1.2045E-09,9.0942E-11,8.6296E-10
20:42:19,05:42:19,059.85,013.24,0.0000E+00,8.0956E-10,1.8105E-09,1.7528E-09,1.3075E-09,9.9258E-11,9.4727E-10
03/05/28,21:00:02,03/05/29,06:00:02,H,Akiruno,TS_POM01.obs
21:00:02,06:00:02,-103.27,017.13,1.4953E-09,4.9934E-06,3.1830E-05,9.0965E-05,9.9098E-05,1.5511E-05,9.8320E-05
21:00:08,06:00:08,-101.18,017.13,1.5259E-13,1.2203E-08,5.6778E-08,1.0542E-07,1.1076E-07,2.3788E-08,1.3280E-07
21:00:14,06:00:14,-100.13,017.13,0.0000E+00,9.2972E-09,4.1679E-08,7.5707E-08,5.9021E-08,8.3511E-09,4.7760E-08
21:00:20,06:00:20,-099.08,017.13,0.0000E+00,7.8911E-09,3.4393E-08,6.1241E-08,4.7729E-08,6.7513E-09,3.8818E-08
21:00:26,06:00:26,-098.04,017.13,0.0000E+00,7.0419E-09,2.9861E-08,5.1826E-08,4.0108E-08,5.6732E-09,3.2776E-08
21:00:32,06:00:32,-095.94,017.13,0.0000E+00,6.0593E-09,2.4618E-08,4.0382E-08,3.0396E-08,4.2641E-09,2.4839E-08
21:00:38,06:00:38,-092.80,017.13,0.0000E+00,5.2429E-09,2.0379E-08,3.1334E-08,2.2461E-08,3.0914E-09,1.8020E-08
21:00:44,06:00:44,-087.57,017.13,0.0000E+00,4.3541E-09,1.6259E-08,2.3792E-08,1.6019E-08,2.1385E-09,1.2314E-08
21:00:50,06:00:50,-082.33,017.13,0.0000E+00,3.6697E-09,1.3249E-08,1.8952E-08,1.2378E-08,1.6006E-09,9.2384E-09
21:00:56,06:00:56,-077.09,017.13,0.0000E+00,3.1357E-09,1.0913E-08,1.5429E-08,9.9815E-09,1.2685E-09,7.3181E-09
21:01:03,06:01:03,-071.84,017.13,0.0000E+00,2.7130E-09,9.0721E-09,1.2666E-08,8.1772E-09,1.0252E-09,5.9326E-09
21:01:09,06:01:09,-061.33,017.13,0.0000E+00,2.0767E-09,6.4049E-09,8.5991E-09,5.5511E-09,6.8024E-10,3.9909E-09
21:01:16,06:01:16,-050.78,017.13,0.0000E+00,1.6863E-09,4.7073E-09,5.9204E-09,3.7712E-09,4.4884E-10,2.6833E-09
21:01:23,06:01:23,-040.18,017.13,0.0000E+00,1.4349E-09,3.6392E-09,4.2870E-09,2.7077E-09,3.1250E-10,1.9002E-09
21:01:29,06:01:29,-029.50,017.13,0.0000E+00,1.2509E-09,2.9343E-09,3.2059E-09,1.9776E-09,2.2263E-10,1.3867E-09
21:01:36,06:01:36,-018.73,017.13,0.0000E+00,1.1380E-09,2.4593E-09,2.5185E-09,1.5398E-09,1.6678E-10,1.0703E-09
21:01:42,06:01:42,-007.82,017.13,0.0000E+00,1.0660E-09,2.1770E-09,2.0638E-09,1.2715E-09,1.3290E-10,8.7418E-10
21:01:48,06:01:48,003.29,017.13,0.0000E+00,1.0264E-09,2.0177E-09,1.8159E-09,1.1335E-09,1.1498E-10,7.7690E-10
21:01:54,06:01:54,014.73,017.13,0.0000E+00,1.0061E-09,1.9394E-09,1.6939E-09,1.0900E-09,1.0818E-10,7.5005E-10
21:02:00,06:02:00,026.70,017.13,0.0000E+00,1.0229E-09,1.9408E-09,1.6431E-09,1.0834E-09,1.0597E-10,7.4852E-10
21:02:06,06:02:06,039.74,017.13,0.0000E+00,1.0591E-09,1.9933E-09,1.6537E-09,1.1135E-09,1.0864E-10,7.7347E-10
21:02:12,06:02:12,055.75,017.13,9.0790E-12,1.0958E-09,2.0770E-09,1.7339E-09,1.2045E-09,1.1803E-10,8.4534E-10
